FX,ex_sec,ex_cost,opt_sec,opt_cost
720,0.08,44,0.33,12
721,0.08,40,0.34,12
722,0.07,36,0.36,9
723,0.08,36,0.39,10
724,0.08,36,1.27,15
725,0.09,35,0.22,10
726,0.08,39,0.93,11
727,0.08,33,0.25,8
728,0.08,37,0.37,12
729,0.08,40,1.17,15
730,0.1,44,0.45,10
731,0.08,37,0.61,11
732,0.09,41,0.24,10
733,0.08,37,0.21,8
734,0.08,43,0.23,8
735,0.07,40,0.18,8
736,0.08,39,0.33,11
737,0.1,42,0.8,17
738,0.08,39,0.25,9
739,0.08,34,0.66,11
740,0.08,41,0.33,12
741,0.08,42,1.01,15
742,0.08,38,0.37,10
743,0.08,39,0.65,11
744,0.08,41,0.79,15
745,0.09,39,2.78,20
746,0.08,37,0.12,6
747,0.08,38,0.26,9
748,0.07,40,0.19,10
749,0.11,43,0.39,12
750,0.08,44,0.12,6
751,0.08,40,0.22,7
752,0.08,40,0.13,6
753,0.08,39,0.21,10
754,0.07,35,0.11,6
755,0.08,33,0.12,6
756,0.08,42,0.23,10
757,0.08,39,0.22,8
758,0.08,39,0.2,8
759,0.08,42,0.24,8
760,0.08,41,0.21,10
761,0.09,40,0.39,12
762,0.08,40,0.14,6
763,0.08,41,0.23,7
764,0.09,36,0.17,8
765,0.09,38,0.28,10
766,0.07,45,0.24,8
767,0.08,44,0.12,6
768,0.07,32,0.08,4
769,0.07,35,0.12,6
770,0.07,40,0.13,6
771,0.07,33,0.08,2
772,0.08,39,0.2,10
773,0.08,37,0.16,6
774,0.08,37,0.3,12
775,0.07,36,0.09,4
776,0.08,38,0.2,10
777,0.08,39,0.36,12
778,0.07,36,0.13,6
779,0.08,40,0.1,4
780,0.07,32,0.14,6
781,0.08,38,0.28,9
782,0.07,36,0.26,9
783,0.07,40,0.08,4
784,0.1,43,0.22,10
785,0.08,36,0.11,6
786,0.08,35,0.38,12
787,0.07,37,0.08,4
788,0.09,39,0.4,15
789,0.08,37,0.29,10
790,0.11,40,0.76,17
791,0.07,37,0.18,7
792,0.1,40,0.52,16
793,0.08,41,0.34,12
794,0.08,41,0.35,12
795,0.07,36,0.15,6
796,0.08,34,0.39,12
797,0.07,38,0.4,10
798,0.08,41,0.96,15
799,0.07,39,0.12,6
800,0.08,36,0.21,10
801,0.08,37,0.4,12
802,0.07,38,0.12,6
803,0.08,43,0.09,4
804,0.09,39,0.53,16
805,0.08,33,0.36,12
806,0.08,35,0.31,12
807,0.07,39,0.13,6
808,0.09,39,0.42,15
809,0.08,39,1.09,17
810,0.08,40,0.33,10
811,0.08,43,0.17,7
812,0.08,40,0.34,12
813,0.1,38,0.94,15
814,0.08,33,0.33,10
815,0.08,41,0.1,6
816,0.07,40,0.15,6
817,0.07,38,0.32,9
818,0.07,35,0.25,9
819,0.08,38,0.1,4
820,0.08,41,0.33,12
821,0.07,35,0.29,10
822,0.08,41,1.49,15
823,0.08,41,0.12,6
824,0.1,42,0.33,12
825,0.09,41,0.9,15
826,0.08,36,0.32,10
827,0.08,35,0.12,6
828,0.08,40,0.36,10
829,0.08,40,0.97,12
830,0.08,42,0.87,12
831,0.07,36,0.13,6
832,0.08,37,0.17,10
833,0.07,38,0.28,11
834,0.08,35,0.28,12
835,0.07,37,0.14,6
