FX,ex_sec,ex_cost,opt_sec,opt_cost
19637,0.22,nan,0.06,nan
19638,0.18,nan,0.09,nan
19639,0.43,nan,0.09,nan
19640,0.65,nan,0.2,nan
19641,0.23,nan,0.11,nan
19642,0.22,13,0.11,11
19643,0.07,12,0.13,11
19644,0.07,11,0.08,11
19645,0.16,nan,0.07,nan
19646,0.07,9,0.06,8
19647,0.05,10,0.08,8
19648,0.45,nan,0.08,nan
19649,0.25,nan,0.05,nan
19650,0.2,nan,0.07,nan
19651,0.23,nan,0.07,nan
19652,0.09,13,0.04,6
19653,0.3,nan,0.07,nan
19654,0.34,nan,0.06,nan
19655,0.42,nan,0.11,nan
19656,0.73,nan,0.13,nan
19657,0.12,nan,0.04,nan
19658,0.4,nan,0.11,nan
19659,0.27,nan,0.12,nan
19660,0.04,13,0.05,6
19661,0.16,nan,0.08,nan
19662,0.03,15,0.11,11
19663,0.03,15,0.16,12
19664,0.32,nan,0.07,nan
19665,0.38,nan,0.08,nan
19666,0.33,nan,0.05,nan
19667,0.19,nan,0.14,nan
19668,0.1,14,0.15,13
19669,0.49,nan,0.15,nan
19670,0.19,nan,0.07,nan
19671,0.27,nan,0.14,nan
19672,0.35,nan,0.09,nan
19673,0.25,nan,0.04,nan
19674,0.42,nan,0.07,nan
19675,0.42,nan,0.16,nan
19676,0.03,14,0.1,11
19677,0.05,14,0.16,12
19678,0.4,nan,0.11,nan
19679,0.05,15,0.3,14
19680,0.32,nan,0.12,nan
19681,0.28,nan,0.06,nan
19682,0.41,nan,0.08,nan
19683,0.28,nan,0.11,nan
19684,0.04,14,0.06,8
19685,0.3,nan,0.08,nan
19686,0.05,12,0.11,11
19687,0.22,nan,0.12,nan
19688,0.31,nan,0.11,nan
19689,0.15,nan,0.06,nan
19690,0.09,13,0.05,8
19691,0.45,nan,0.16,nan
19692,0.04,12,0.09,9
19693,0.25,nan,0.07,nan
19694,0.03,14,0.03,6
19695,0.03,14,0.05,8
19696,0.05,13,0.05,8
19697,0.23,nan,0.05,nan
19698,0.04,12,0.08,11
19699,0.18,14,0.19,11
19700,0.04,12,0.04,6
19701,0.04,12,0.11,10
19702,0.04,11,0.05,8
19703,0.03,10,0.09,8
19704,0.05,11,0.06,8
19705,0.24,nan,0.08,nan
19706,0.1,14,0.07,9
19707,0.1,13,0.23,11
19708,0.03,14,0.04,6
19709,0.05,13,0.07,8
19710,0.03,11,0.05,7
19711,0.03,10,0.05,7
19712,0.45,nan,0.07,nan
19713,0.09,nan,0.04,nan
19714,0.12,nan,0.05,nan
19715,0.29,nan,0.07,nan
19716,0.22,nan,0.07,nan
19717,0.05,14,0.07,11
19718,0.27,nan,0.06,nan
19719,0.05,13,0.13,13
19720,0.14,nan,0.06,nan
19721,0.14,nan,0.07,nan
19722,0.31,nan,0.08,nan
19723,0.43,nan,0.08,nan
19724,0.06,14,0.07,11
19725,0.22,nan,0.06,nan
19726,0.14,13,0.1,13
19727,0.08,14,0.1,11
19728,0.13,nan,0.07,nan
19729,0.28,nan,0.07,nan
19730,0.15,nan,0.05,nan
19731,0.18,nan,0.08,nan
19732,0.31,nan,0.05,nan
19733,0.13,14,0.08,13
19734,0.25,nan,0.05,nan
19735,0.31,nan,0.07,nan
19736,0.2,nan,0.06,nan
19737,0.16,nan,0.06,nan
19738,0.28,nan,0.06,nan
19739,0.31,nan,0.15,nan
19740,0.22,nan,0.07,nan
19741,0.42,nan,0.13,nan
19742,0.25,nan,0.05,nan
19743,0.19,nan,0.06,nan
19744,0.32,nan,0.05,nan
19745,0.34,nan,0.05,nan
19746,0.28,nan,0.11,nan
19747,0.28,nan,0.09,nan
19748,0.11,nan,0.04,nan
19749,0.22,nan,0.06,nan
19750,0.16,nan,0.08,nan
19751,0.32,14,0.56,13
19752,0.26,nan,0.06,nan
19753,0.17,nan,0.05,nan
19754,0.33,nan,0.07,nan
19755,0.38,nan,0.15,nan
19756,0.34,nan,0.09,nan
19757,0.17,nan,0.1,nan
19758,0.11,14,0.11,13
19759,0.17,13,0.17,13
19760,0.43,nan,0.08,nan
19761,0.18,nan,0.07,nan
19762,0.32,nan,0.08,nan
19763,0.48,nan,0.09,nan
19764,0.36,nan,0.08,nan
19765,0.14,14,0.12,13
19766,0.28,nan,0.08,nan
19767,0.36,nan,0.14,nan
19768,0.24,nan,0.09,nan
19769,0.22,nan,0.05,nan
19770,0.39,nan,0.08,nan
19771,0.36,nan,0.11,nan
19772,0.16,14,0.17,13
19773,0.25,nan,0.08,nan
19774,0.17,nan,0.08,nan
19775,0.08,14,0.12,11
19776,0.17,nan,0.05,nan
19777,0.24,nan,0.04,nan
19778,0.12,nan,0.06,nan
19779,0.19,nan,0.07,nan
19780,0.06,14,0.06,11
19781,0.86,nan,0.12,nan
19782,0.27,nan,0.06,nan
19783,0.42,nan,0.11,nan
19784,0.13,nan,0.05,nan
19785,0.08,nan,0.06,nan
19786,0.14,nan,0.08,nan
19787,0.12,nan,0.1,nan
19788,0.38,nan,0.07,nan
19789,0.03,15,0.18,12
19790,0.31,nan,0.08,nan
19791,0.07,15,0.12,12
19792,0.43,nan,0.07,nan
19793,0.59,nan,0.08,nan
19794,0.3,nan,0.06,nan
19795,0.23,nan,0.07,nan
19796,0.18,14,0.08,13
19797,0.11,14,0.12,11
19798,0.2,nan,0.05,nan
19799,0.5,nan,0.09,nan
19800,0.21,nan,0.05,nan
19801,0.23,nan,0.05,nan
19802,0.16,nan,0.1,nan
19803,0.21,nan,0.11,nan
19804,0.22,nan,0.07,nan
19805,0.05,15,0.11,12
19806,0.29,nan,0.07,nan
19807,0.09,15,0.46,14
19808,0.15,nan,0.05,nan
19809,0.23,nan,0.05,nan
19810,0.15,nan,0.11,nan
19811,0.4,nan,0.05,nan
19812,0.23,nan,0.08,nan
19813,0.34,nan,0.06,nan
19814,0.09,13,0.12,13
19815,0.57,nan,0.08,nan
19816,0.21,nan,0.06,nan
19817,0.17,nan,0.08,nan
19818,0.19,nan,0.06,nan
19819,0.43,nan,0.07,nan
19820,0.27,nan,0.05,nan
19821,0.4,nan,0.1,nan
19822,0.26,nan,0.07,nan
19823,0.11,14,0.17,14
19824,0.25,nan,0.07,nan
19825,0.38,nan,0.07,nan
19826,0.28,nan,0.13,nan
19827,0.19,nan,0.06,nan
19828,0.23,14,0.11,13
19829,0.08,13,0.15,13
19830,0.29,nan,0.12,nan
19831,0.23,14,0.11,11
19832,0.16,nan,0.1,nan
19833,0.22,nan,0.08,nan
19834,0.17,nan,0.08,nan
19835,0.17,nan,0.05,nan
19836,0.24,nan,0.08,nan
19837,0.05,15,0.22,14
19838,0.39,nan,0.07,nan
19839,0.07,15,0.16,12
19840,0.21,nan,0.04,nan
19841,0.22,nan,0.04,nan
19842,0.25,nan,0.06,nan
19843,0.11,nan,0.06,nan
19844,0.15,nan,0.04,nan
19845,0.19,nan,0.06,nan
19846,0.22,nan,0.08,nan
19847,0.2,nan,0.07,nan
19848,0.23,nan,0.07,nan
19849,0.11,nan,0.05,nan
19850,0.24,nan,0.12,nan
19851,0.33,nan,0.09,nan
19852,0.13,14,0.09,13
19853,0.33,nan,0.07,nan
19854,0.23,nan,0.07,nan
19855,0.46,nan,0.12,nan
19856,0.17,nan,0.04,nan
19857,0.23,nan,0.06,nan
19858,0.22,nan,0.09,nan
19859,0.22,nan,0.07,nan
19860,0.3,nan,0.04,nan
19861,0.27,nan,0.07,nan
19862,0.25,nan,0.06,nan
19863,0.14,nan,0.06,nan
19864,0.27,nan,0.05,nan
19865,0.26,nan,0.06,nan
19866,0.21,nan,0.08,nan
19867,0.3,nan,0.11,nan
19868,0.16,nan,0.05,nan
19869,0.32,nan,0.08,nan
19870,0.44,nan,0.08,nan
19871,0.37,nan,0.09,nan
19872,0.29,nan,0.08,nan
19873,0.21,nan,0.07,nan
19874,0.26,nan,0.07,nan
19875,0.22,nan,0.09,nan
19876,0.26,nan,0.1,nan
19877,0.1,14,0.16,13
19878,0.24,nan,0.08,nan
19879,0.3,nan,0.12,nan
19880,0.41,nan,0.11,nan
19881,0.19,nan,0.08,nan
19882,0.45,nan,0.1,nan
19883,0.34,nan,0.09,nan
19884,0.09,13,0.15,13
19885,0.19,nan,0.07,nan
19886,0.22,nan,0.12,nan
19887,0.08,15,0.12,11
19888,0.44,nan,0.09,nan
19889,0.31,nan,0.06,nan
